Benchmark,Mode,Version,Model,Type,Size,List Name,Unordered Pairs Before,Unordered Pairs After,Unordered Neighbors Before,Unordered Neighbors After,Missing Items,Additional Items,Output List Length,Output Length,Thinking Length,Parsed,HasError,ErrorType,IsList,HasEllipsis,RequiredTypeParsing,Unordered Pairs (%),Unordered Neighbors (%),Missing Items (%),Additional Items (%),Validity Score,Sorting Score,Faithfulness Score,SortBench Score
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2383,585,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1066,267,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,2.0,823,212,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2076,479,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4827,1269,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1212,262,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2026,278,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3271,801,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,981,184,True,True,Content after last closing bracket,True,False,False,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5
sortbench,advanced,v1.0,deepseekr1,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1478,379,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,llama3.1,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o-mini,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_8,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_9,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,gpt-4o,ASCII-Cased,2,list_10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_2,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_3,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_4,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sortbench,advanced,v1.0,claude-3-5-sonnet-20241022,ASCII-Cased,2,list_7,1.0,0.0,1.0,0.0,0.0,0.0,2.0,18,0,True,False,,True,False,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
